bike_id,start_station_id,start_coords,end_station_id,end_coords,start_time,end_time,temperature,rain
3480,122,"(46.9613082, 7.4466679)",122,"(46.9613082, 7.4466679)",20240429_160100,20240429_160300,18.54,No rain data available
4754,462,"(46.9558281, 7.4529965)",216,"(46.9538192, 7.4581813)",20240429_160001,20240429_160400,18.54,No rain data available
9,334,"(46.520202, 6.571784)",9,"(46.519805, 6.579676)",20240429_160001,20240429_160400,18.54,No rain data available
5947,21,"(46.521043, 6.573253)",334,"(46.520202, 6.571784)",20240429_160200,20240429_160400,18.54,No rain data available
4522,114,"(46.9566007, 7.4402185)",217,"(46.9483305, 7.44079)",20240429_160001,20240429_160400,18.54,No rain data available
555,152,"(47.389823, 8.49163)",455,"(47.385711, 8.499287)",20240429_160001,20240429_160500,18.54,No rain data available
5069,43,"(46.005849, 8.961709)",43,"(46.005849, 8.961709)",20240429_160300,20240429_160500,18.54,No rain data available
4504,546,"(46.939462, 7.46973)",261,"(46.9366583, 7.4679887)",20240429_160400,20240429_160600,18.54,No rain data available
2174,266,"(47.375819, 8.516676)",124,"(47.37209, 8.520482)",20240429_160300,20240429_160600,18.54,No rain data available
1402,890,"(47.012883, 7.469947)",889,"(47.015385, 7.48331)",20240429_160200,20240429_160600,18.54,No rain data available
1881,506,"(46.803943, 7.151989)",510,"(46.808006, 7.155941)",20240429_160200,20240429_160600,18.54,No rain data available
6027,219,"(46.9514853, 7.4303815)",309,"(46.9405957, 7.418738)",20240429_160100,20240429_160700,18.54,No rain data available
206,171,"(46.41609, 6.278163)",171,"(46.41609, 6.278163)",20240429_160400,20240429_160700,18.54,No rain data available
1735,171,"(46.41609, 6.278163)",171,"(46.41609, 6.278163)",20240429_160400,20240429_160700,18.54,No rain data available
5672,171,"(46.41609, 6.278163)",171,"(46.41609, 6.278163)",20240429_160400,20240429_160700,18.54,No rain data available
1169,218,"(46.961965, 7.452968)",188,"(46.95518301852439, 7.451799078591182)",20240429_160200,20240429_160700,18.54,No rain data available
4469,505,"(46.811754, 7.150142)",506,"(46.803943, 7.151989)",20240429_160200,20240429_160700,18.54,No rain data available
4359,415,"(46.916092, 7.418571)",413,"(46.9250228, 7.4154375)",20240429_160300,20240429_160700,18.54,No rain data available
5288,636,"(46.806876, 7.15297)",635,"(46.802118, 7.146355)",20240429_160400,20240429_160700,18.54,No rain data available
1885,507,"(46.804568, 7.155553)",535,"(46.802937, 7.167527)",20240429_160300,20240429_160800,18.54,No rain data available
5857,211,"(46.383066, 6.225766)",732,"(46.388983510293066, 6.223670386094328)",20240429_160200,20240429_160800,18.54,No rain data available
5599,707,"(45.86839596516475, 8.97806954826163)",688,"(45.86552127511925, 8.977682352126578)",20240429_160500,20240429_160800,18.54,No rain data available
4918,195,"(46.9543451, 7.4453536)",677,"(46.949100687820106, 7.433277786246504)",20240429_160300,20240429_160800,18.54,No rain data available
4152,229,"(46.9412568, 7.4507099)",251,"(46.9487682, 7.4475691)",20240429_160400,20240429_160800,18.54,No rain data available
5053,378,"(46.0082843, 8.9512745)",378,"(46.0082843, 8.9512745)",20240429_160500,20240429_160800,18.54,No rain data available
2082,543,"(46.517338, 6.59775)",9,"(46.519805, 6.579676)",20240429_160001,20240429_160901,18.54,No rain data available
4093,317,"(46.9460279, 7.4332165)",867,"(46.9477816, 7.4365087)",20240429_160500,20240429_160901,18.54,No rain data available
149,146,"(46.004469, 8.947096)",381,"(46.012252, 8.955118)",20240429_160400,20240429_160901,18.54,No rain data available
4021,195,"(46.9543451, 7.4453536)",497,"(46.9579458, 7.4537747)",20240429_160500,20240429_160901,18.54,No rain data available
4361,119,"(46.95752776631194, 7.440576239521807)",226,"(46.9557805, 7.4352658)",20240429_160400,20240429_160901,18.54,No rain data available
1320,211,"(46.383066, 6.225766)",165,"(46.38421, 6.23491)",20240429_160500,20240429_160901,18.54,No rain data available
766,88,"(47.364946, 8.525788)",105,"(47.377359, 8.535855)",20240429_160001,20240429_160901,18.54,No rain data available
5133,249,"(46.000482, 8.912639)",210,"(45.996253, 8.900957)",20240429_160300,20240429_160901,18.54,No rain data available
5532,43,"(46.005849, 8.961709)",49,"(46.005707, 8.95184)",20240429_160500,20240429_160901,18.54,No rain data available
5912,646,"(46.798038, 7.119618)",777,"(46.80799726436817, 7.143350342709623)",20240429_160001,20240429_160901,18.54,No rain data available
3886,228,"(46.9534206, 7.4328277)",250,"(46.9490849, 7.4444363)",20240429_160200,20240429_160901,18.54,No rain data available
1622,220,"(46.9559178, 7.4467885)",353,"(46.94831, 7.44035)",20240429_160400,20240429_160901,18.54,No rain data available
4306,353,"(46.94831, 7.44035)",353,"(46.94831, 7.44035)",20240429_160600,20240429_160901,18.54,No rain data available
2715,92,"(47.3820827, 8.5286468)",392,"(47.393309, 8.528074)",20240429_160100,20240429_161000,18.54,No rain data available
441,7,"(46.522591, 6.584961)",9,"(46.519805, 6.579676)",20240429_160600,20240429_161000,18.54,No rain data available
2772,290,"(46.946888089472424, 7.445830418186601)",292,"(46.946604, 7.441624)",20240429_160700,20240429_161000,18.54,No rain data available
974,253,"(46.9534004, 7.4285549)",230,"(46.9547361, 7.4333909)",20240429_160500,20240429_161000,18.54,No rain data available
1238,353,"(46.94831, 7.44035)",189,"(46.9618565, 7.4592662)",20240429_160100,20240429_161000,18.54,No rain data available
2116,223,"(46.9506632, 7.4370414)",204,"(46.9515508, 7.4345382)",20240429_160001,20240429_161000,18.54,No rain data available
1862,237,"(46.806661, 7.1620248)",506,"(46.803943, 7.151989)",20240429_160500,20240429_161000,18.54,No rain data available
3248,567,"(47.381447, 8.497982)",97,"(47.3771535, 8.5104883)",20240429_160400,20240429_161000,18.54,No rain data available
5697,500,"(46.794595, 7.132707)",635,"(46.802118, 7.146355)",20240429_160400,20240429_161000,18.54,No rain data available
4636,513,"(47.380338, 8.537684)",702,"(47.377779, 8.546183)",20240429_160600,20240429_161100,18.54,No rain data available
4347,591,"(46.9475569, 7.4266947)",230,"(46.9547361, 7.4333909)",20240429_160500,20240429_161100,18.54,No rain data available
2145,307,"(46.948011846616254, 7.421892556487192)",553,"(46.944672, 7.422308)",20240429_160700,20240429_161100,18.54,No rain data available
5243,636,"(46.806876, 7.15297)",236,"(46.8104076, 7.1730614)",20240429_160400,20240429_161100,18.54,No rain data available
3312,321,"(46.93965162143165, 7.440241261842887)",300,"(46.9371912, 7.4360892)",20240429_160600,20240429_161100,18.54,No rain data available
739,393,"(47.415721, 8.538067)",387,"(47.411057, 8.543768)",20240429_160700,20240429_161100,18.54,No rain data available
5969,21,"(46.521043, 6.573253)",34,"(46.532879, 6.566487)",20240429_160300,20240429_161100,18.54,No rain data available
331,334,"(46.520202, 6.571784)",34,"(46.532879, 6.566487)",20240429_160500,20240429_161100,18.54,No rain data available
1907,636,"(46.806876, 7.15297)",647,"(46.80007, 7.140663)",20240429_160300,20240429_161100,18.54,No rain data available
4396,455,"(47.385711, 8.499287)",97,"(47.3771535, 8.5104883)",20240429_160400,20240429_161100,18.54,No rain data available
4256,637,"(46.79427, 7.155003)",812,"(46.79364606401284, 7.150040893601194)",20240429_160901,20240429_161100,18.54,No rain data available
2502,187,"(46.947127654625206, 7.46573539047808)",546,"(46.939462, 7.46973)",20240429_160600,20240429_161100,18.54,No rain data available
3189,250,"(46.9490849, 7.4444363)",683,"(46.948471616973904, 7.450529302235038)",20240429_160500,20240429_161100,18.54,No rain data available
4550,213,"(46.9503428, 7.435298)",259,"(46.9539295, 7.4267524)",20240429_160600,20240429_161100,18.54,No rain data available
1121,461,"(46.9470671, 7.3957642)",174,"(46.9436036, 7.4071777)",20240429_160600,20240429_161200,18.54,No rain data available
1875,636,"(46.806876, 7.15297)",234,"(46.815219, 7.155715)",20240429_160700,20240429_161200,18.54,No rain data available
2806,883,"(46.96079848478852, 7.433964120753491)",222,"(46.9534366, 7.4239308)",20240429_160600,20240429_161200,18.54,No rain data available
5872,163,"(46.3995398, 6.2321083)",165,"(46.38421, 6.23491)",20240429_160400,20240429_161200,18.54,No rain data available
5763,7,"(46.522591, 6.584961)",21,"(46.521043, 6.573253)",20240429_160600,20240429_161200,18.54,No rain data available
5276,233,"(46.802604, 7.1509925)",812,"(46.79364606401284, 7.150040893601194)",20240429_160700,20240429_161200,18.54,No rain data available
5798,171,"(46.41609, 6.278163)",811,"(46.417503, 6.271244)",20240429_160400,20240429_161200,18.54,No rain data available
4270,636,"(46.806876, 7.15297)",635,"(46.802118, 7.146355)",20240429_160700,20240429_161200,18.54,No rain data available
4536,590,"(46.946544688600916, 7.4207811103582495)",309,"(46.9405957, 7.418738)",20240429_160901,20240429_161300,18.54,No rain data available
1403,867,"(46.9477816, 7.4365087)",668,"(46.93369386095887, 7.423407106637636)",20240429_160500,20240429_161300,18.54,No rain data available
4616,292,"(46.946604, 7.441624)",331,"(46.9458073, 7.4270475)",20240429_160200,20240429_161300,18.54,No rain data available
1131,596,"(46.9446088, 7.4290739)",867,"(46.9477816, 7.4365087)",20240429_160800,20240429_161300,18.54,No rain data available
4004,306,"(46.9400198, 7.4317782)",480,"(46.9371088, 7.4322402)",20240429_160300,20240429_161300,18.54,No rain data available
2854,771,"(47.403145, 8.609221)",532,"(47.412103, 8.592144)",20240429_160400,20240429_161300,18.54,No rain data available
1454,325,"(46.9360173, 7.4300596)",214,"(46.94626, 7.43804)",20240429_160600,20240429_161300,18.54,No rain data available
4275,637,"(46.79427, 7.155003)",637,"(46.79427, 7.155003)",20240429_161100,20240429_161300,18.32,No rain data available
6204,194,"(46.95860113643669, 7.456935120256138)",251,"(46.9487682, 7.4475691)",20240429_160800,20240429_161300,18.54,No rain data available
2022,214,"(46.94626, 7.43804)",220,"(46.9559178, 7.4467885)",20240429_160500,20240429_161300,18.54,No rain data available
4490,122,"(46.9613082, 7.4466679)",217,"(46.9483305, 7.44079)",20240429_160500,20240429_161300,18.54,No rain data available
2325,122,"(46.9613082, 7.4466679)",353,"(46.94831, 7.44035)",20240429_160200,20240429_161300,18.54,No rain data available
5882,171,"(46.41609, 6.278163)",811,"(46.417503, 6.271244)",20240429_160200,20240429_161300,18.54,No rain data available
1959,171,"(46.41609, 6.278163)",811,"(46.417503, 6.271244)",20240429_160200,20240429_161300,18.54,No rain data available
1879,233,"(46.802604, 7.1509925)",501,"(46.803797, 7.161559)",20240429_160700,20240429_161300,18.54,No rain data available
1868,233,"(46.802604, 7.1509925)",535,"(46.802937, 7.167527)",20240429_160600,20240429_161400,18.54,No rain data available
1387,252,"(46.9497908, 7.4441278)",187,"(46.947127654625206, 7.46573539047808)",20240429_160600,20240429_161400,18.54,No rain data available
3866,549,"(46.951735, 7.416496)",174,"(46.9436036, 7.4071777)",20240429_160600,20240429_161400,18.54,No rain data available
1178,219,"(46.9514853, 7.4303815)",883,"(46.96079848478852, 7.433964120753491)",20240429_160700,20240429_161400,18.54,No rain data available
2506,223,"(46.9506632, 7.4370414)",349,"(46.93874927649203, 7.475214965129108)",20240429_160100,20240429_161400,18.54,No rain data available
6032,815,"(46.96526082670581, 7.481022157938033)",814,"(46.96629170335004, 7.48318298315503)",20240429_160800,20240429_161400,18.54,No rain data available
1268,348,"(46.97179532778565, 7.44576189083437)",226,"(46.9557805, 7.4352658)",20240429_160700,20240429_161400,18.54,No rain data available
4138,471,"(46.94774434260293, 7.40357158919319)",308,"(46.9465416, 7.4356627)",20240429_160300,20240429_161400,18.54,No rain data available
4158,223,"(46.9506632, 7.4370414)",348,"(46.97179532778565, 7.44576189083437)",20240429_160500,20240429_161400,18.54,No rain data available
3301,359,"(47.393365, 8.512551)",149,"(47.392336, 8.491061)",20240429_160700,20240429_161400,18.54,No rain data available
4486,235,"(46.793372, 7.1584206)",647,"(46.80007, 7.140663)",20240429_160600,20240429_161400,18.54,No rain data available
5915,233,"(46.802604, 7.1509925)",636,"(46.806876, 7.15297)",20240429_160700,20240429_161400,18.54,No rain data available
5180,171,"(46.41609, 6.278163)",811,"(46.417503, 6.271244)",20240429_160300,20240429_161400,18.54,No rain data available
4929,222,"(46.9534366, 7.4239308)",271,"(46.947856328360984, 7.436903989490435)",20240429_160001,20240429_161400,18.54,No rain data available
4574,414,"(46.926197, 7.417231)",670,"(46.9313589644514, 7.446041234885444)",20240429_160600,20240429_161500,18.54,No rain data available
5763,21,"(46.521043, 6.573253)",334,"(46.520202, 6.571784)",20240429_161300,20240429_161500,18.32,No rain data available
1645,251,"(46.9487682, 7.4475691)",244,"(46.9603536, 7.4485856)",20240429_160800,20240429_161500,18.54,No rain data available
5325,507,"(46.804568, 7.155553)",237,"(46.806661, 7.1620248)",20240429_161200,20240429_161500,18.32,No rain data available
4351,218,"(46.961965, 7.452968)",251,"(46.9487682, 7.4475691)",20240429_160901,20240429_161500,18.54,No rain data available
1218,416,"(46.93046, 7.428167)",550,"(46.958014, 7.444949)",20240429_160100,20240429_161500,18.54,No rain data available
960,218,"(46.961965, 7.452968)",550,"(46.958014, 7.444949)",20240429_161100,20240429_161500,18.32,No rain data available
4994,499,"(46.801805, 7.136609)",632,"(46.79816, 7.147493)",20240429_160700,20240429_161500,18.54,No rain data available
1028,416,"(46.93046, 7.428167)",414,"(46.926197, 7.417231)",20240429_160500,20240429_161500,18.54,No rain data available
2285,457,"(46.9525271, 7.4498355)",217,"(46.9483305, 7.44079)",20240429_160800,20240429_161500,18.54,No rain data available
1613,302,"(46.938576, 7.437862)",315,"(46.9424453, 7.4431193)",20240429_160700,20240429_161500,18.54,No rain data available
1636,457,"(46.9525271, 7.4498355)",229,"(46.9412568, 7.4507099)",20240429_160800,20240429_161500,18.54,No rain data available
